"EVENT_ID","LOCATION","LATITUDE","LONGITUDE"
891457,"Genesee",43.09,-83.6
891458,"Belsay",43,-83.62
894018,"Mc Adoo",33.7701,-101
894019,"Crosbyton Muni Arpt",33.5253,-101.1651
899779,"Crosbyton",33.6433,-101.2633
894074,"Pray",44.36,-90.55
894075,"Trempealeau",44.01,-91.44
894077,"Hatfield",44.42,-90.73
894078,"Merrillan",44.45,-90.84
894079,"Taylor",44.32,-91.12
894081,"Trempealeau",44.01,-91.44
894083,"New Amsterdam",43.99,-91.32
894085,"Dodge",44.11,-91.58
894088,"Blair",44.3,-91.23
894089,"Neillsville",44.56,-90.59
894092,"Holmen",43.9681,-91.2737
894092,"Midway",43.93,-91.24
895744,"West Salem",43.9,-91.1
895746,"La Crosse Muni",43.88,-91.25
895749,"New Rome",44.17,-89.89
895750,"Onalaska",43.89,-91.21
895751,"New Rome",44.22,-89.79
895752,"Herrington",43.81,-91.2
895756,"Sparta",43.94,-90.81
895760,"Coon Vly",43.7,-91.01
895761,"Tomah",43.97,-90.5
895762,"Tomah",43.97,-90.52
896232,"Friendship",43.97,-89.82
896234,"Stoddard",43.72,-91.17
896236,"Elroy",43.74,-90.27
896238,"White Creek",43.84,-89.79
896239,"Bell Center",43.32,-90.84
896240,"Richland Center",43.32,-90.38
896780,"Trempealeau",44.02,-91.45
896786,"Whitehall",44.37,-91.35
896787,"Council Bay",44.04,-91.29
896018,"Spring Hill",41.42,-93.69
896019,"Des Moines",41.6,-93.65
896020,"Windsor Hgts",41.61,-93.7
896021,"Ft Des Moines",41.53,-93.61
896022,"Bewbern",41.23,-93.24
896024,"Columbia",41.23,-93.11
896025,"Dakota City",42.71,-94.22
896026,"Reinbeck",42.32,-92.61
896027,"Estherville Arpt",43.41,-94.75
896028,"Estherville Arpt",43.41,-94.75
896029,"Dows",42.59,-93.53
896030,"Bagley",41.85,-94.43
896031,"Bayard",41.85,-94.56
896032,"Minburn",41.75,-94.06
896033,"Dallas Center",41.68,-93.96
896034,"Grimes",41.69,-93.8
896035,"Hadden Hill",41.59,-93.83
896036,"Dodge Fld Arpt",41.68,-93.75
896037,"Des Moines Intl",41.53,-93.66
898646,"Bancroft",43.27,-94.14
898647,"Waterloo",42.47,-92.34
898648,"Tripoli",42.84,-92.26
898649,"Perry",41.84,-94.13
898650,"Reinbeck",42.33,-92.59
898651,"Reinbeck",42.34,-92.54
896122,"Espyville",40.5758,-83.2135
896122,"Marion",40.5937,-83.0993
902315,"Edenville",40.83,-83.48
902316,"Mt Cory",40.94,-83.85
902317,"Crawford",40.92,-83.36
902318,"New Stark",40.86,-83.79
902320,"Benton Ridge",41.01,-83.79
902321,"Findlay",41.05,-83.65
902322,"Arcadia",41.11,-83.51
902323,"North Baltimore",41.19,-83.68
902324,"Austintown",41.09,-80.75
902325,"Kinsman",41.44,-80.59
902326,"Poland",41.02,-80.61
902891,"Bloomdale",41.1706,-83.5609
902892,"Rising Sun",41.27,-83.43
902893,"Bradner",41.32,-83.45
902894,"Pemberville",41.4,-83.47
902895,"Put in Bay",41.6486,-82.8239
902896,"Limestone",41.54,-83.22
902897,"Oak Harbor",41.5,-83.17
902897,"Marblehead",41.5437,-82.7404
902898,"Kingsway",41.4532,-83.1448
902899,"New Riegel",41.05,-83.35
902900,"Tiffin Seneca Co Arp",41.1089,-83.2213
902900,"Tiffin",41.1144,-83.175
902901,"North Robinson",40.7631,-82.8575
902902,"New London",41.08,-82.41
902905,"Berlin Hgts",41.32,-82.5
902908,"Birmingham",41.3229,-82.3577
903610,"Crystal Rock",41.4394,-82.8193
903611,"Wilmer",41.4012,-82.7274
903611,"Sandusky",41.4605,-82.7032
903612,"Westfield",40.44,-83.02
903613,"Williamsport",40.58,-82.73
903614,"Lahm Muni Arpt",40.82,-82.52
903615,"Mt Vernon",40.3964,-82.4788
903616,"Windsor",40.78,-82.41
903617,"Perrysville",40.6501,-82.3301
904909,"Rochester",41.12,-82.28
904909,"La Grange",41.2356,-82.1128
904912,"Avon Lake",41.49,-82.02
904913,"Elyria",41.36,-82.09
904913,"North Ridgeville",41.3834,-82.0213
904915,"Homerville",41.04,-82.15
905034,"Hayesville",40.7495,-82.223
905035,"Loudonville",40.63,-82.23
905036,"Fredericksburg",40.68,-81.87
905037,"Smithville",40.88,-81.83
905038,"Mc Zena",40.6534,-82.1226
905039,"Westlake",41.46,-81.93
905040,"East Cleveland",41.51,-81.57
905041,"Chardon",41.5804,-81.2424
905042,"South Russell",41.4306,-81.2956
881949,"Mt Bethel",33.97,-84.46
881949,"Mt Bethel",33.9708,-84.4544
881949,"Mt Bethel",33.9679,-84.4524
881949,"Mt Bethel",33.9642,-84.4544
881949,"Mt Bethel",33.9643,-84.4573
881950,"Daniel Spgs",33.65,-82.99
881950,"Grantville",33.6395,-83.0149
881950,"Durham Town",33.6457,-83.0191
881950,"Durham Town",33.656,-83.0077
881950,"Daniel Spgs",33.6611,-82.9926
881950,"Daniel Spgs",33.6585,-82.9842
